Date ,r_size
196401,-1.573795833
196402,0.859795833
196403,0.20523631
196404,0.750185714
196405,1.152760714
196406,0.725054762
196407,-0.912584524
196408,-0.36551131
196409,-0.343914286
196410,-0.278343452
196411,-0.613559524
196412,0.358700595
196501,-2.110729167
196502,-1.900235714
196503,-2.909461905
196504,-0.891857143
196505,-0.789167857
196506,3.238758929
196507,-0.005579762
196508,-0.209590476
196509,0.006453571
196510,-4.148673214
196511,-3.952391667
196512,-2.026924405
196601,-3.787228571
196602,-5.077025595
196603,-1.010013095
196604,-3.3963125
196605,4.120564881
196606,-1.630806548
196607,0.19751131
196608,2.163463095
196609,0.336228571
196610,8.079289881
196611,-2.330459524
196612,-1.196775595
196701,-10.34701131
196702,-4.439373214
196703,-2.382125
196704,-0.875357738
196705,-2.61888869
196706,-8.670067857
196707,-2.957802976
196708,-0.551245833
196709,-5.021935119
196710,-1.36272619
196711,-0.358491667
196712,-5.557886905
196801,-4.555835119
196802,3.103027381
196803,1.532077976
196804,-7.514439286
196805,-8.149422024
196806,0.545833929
196807,1.48756131
196808,-2.210785714
196809,-1.760090476
196810,0.369504762
196811,-1.178175595
196812,-4.620160119
196901,0.843426786
196902,3.743159524
196903,-0.30983631
196904,1.528
196905,-0.376207143
196906,5.944033929
196907,4.455144048
196908,-0.48042619
196909,-0.036852381
196910,-4.277507738
196911,2.996057738
196912,5.491955952
197001,-1.85493869
197002,3.028082143
197003,3.74837619
197004,6.556315476
197005,2.860744643
197006,4.387903571
197007,2.585864881
197008,-2.80136131
197009,-11.03900476
197010,4.674992857
197011,5.94840119
197012,-3.158318452
197101,-8.907916667
197102,-3.753730952
197103,-2.421381548
197104,1.288169643
197105,2.256443452
197106,1.606507738
197107,2.173005952
197108,0.016474405
197109,-1.874485119
197110,1.755069643
197111,2.724945833
197112,-3.862590476
197201,-8.403052381
197202,-1.884685119
197203,0.67571369
197204,0.647175595
197205,2.45921369
197206,-0.359807143
197207,2.835305952
197208,5.633356548
197209,2.120467262
197210,3.270675
197211,1.294919643
197212,1.6999875
197301,-0.223647024
197302,5.25687381
197303,2.417772024
197304,2.927882143
197305,6.26285119
197306,2.506198214
197307,-8.622050595
197308,3.191833333
197309,-1.589644048
197310,0.981225595
197311,8.371832738
197312,7.803335119
197401,-11.37997917
197402,0.941700595
197403,-4.464025595
197404,-0.574999405
197405,1.232904167
197406,-0.319920238
197407,0.361995238
197408,-0.221835119
197409,1.398808333
197410,6.915580952
197411,3.680819048
197412,3.897476786
197501,-11.22898393
197502,-0.419610714
197503,-6.011425
197504,-0.394233929
197505,-1.184485714
197506,-0.066478571
197507,-4.818469048
197508,2.528330952
197509,-1.2124875
197510,3.656042857
197511,1.214826786
197512,0.878326786
197601,-6.332983333
197602,-8.563197619
197603,1.753914286
197604,0.092577976
197605,0.494302976
197606,2.115491071
197607,0.507947024
197608,1.999094643
197609,-0.038119048
197610,0.170340476
197611,-1.304145238
197612,-3.470758929
197701,-7.209304167
197702,-1.771467262
197703,-1.07575
197704,0.101177976
197705,-1.34321369
197706,-1.499461905
197707,-2.731882143
197708,-1.584147024
197709,-2.332358333
197710,-1.768095833
197711,-3.7169375
197712,-2.349618452
197801,-2.664302381
197802,-4.390914881
197803,-3.475260714
197804,-1.142109524
197805,-5.225576786
197806,-0.886435714
197807,-0.44456131
197808,-5.822586905
197809,0.850136905
197810,10.83733333
197811,-3.904170238
197812,-1.376785119
197901,-3.402529167
197902,0.397582143
197903,-2.649735119
197904,-2.597944048
197905,0.606988095
197906,0.168748214
197907,-0.798580952
197908,-1.976272024
197909,0.416554762
197910,3.080997619
197911,-1.966304762
197912,-5.03350119
198001,-4.158198214
198002,-0.4094125
198003,7.787465476
198004,-1.098943452
198005,-1.272614286
198006,-0.36752619
198007,-3.988384524
198008,-6.119654762
198009,-0.955438095
198010,-3.448641071
198011,2.106660714
198012,2.096475
198101,-2.275916071
198102,1.897875595
198103,-2.117653571
198104,-4.623991071
198105,-2.666171429
198106,0.401472619
198107,1.69486131
198108,2.945538095
198109,3.905606548
198110,-2.956888095
198111,2.346877976
198112,-0.492060119
198201,0.349285119
198202,0.222795238
198203,0.477461905
198204,-1.150457143
198205,-1.435429167
198206,0.988542857
198207,-0.946702976
198208,6.456103571
198209,-1.802556548
198210,-2.026604167
198211,-5.035153571
198212,-1.110027381
198301,-5.644425
198302,-2.459549405
198303,-0.849180952
198304,-1.106220238
198305,-7.687023214
198306,-1.627181548
198307,-1.048650595
198308,3.836821429
198309,1.368185119
198310,3.961228571
198311,-1.004517262
198312,0.218350595
198401,-1.040330357
198402,1.272769643
198403,0.921165476
198404,0.878729167
198405,-1.14096369
198406,0.252260119
198407,1.739327976
