Date ,r_value
196401,1.590017262
196402,0.768702381
196403,2.757980952
196404,-0.346798214
196405,1.028151786
196406,0.251795833
196407,0.606271429
196408,0.6213375
196409,0.910179762
196410,0.224676786
196411,-1.478685119
196412,-1.510860714
196501,0.26005
196502,-1.265816071
196503,1.586272619
196504,0.857469048
196505,-1.559382738
196506,-1.617370833
196507,1.539427976
196508,-0.609291667
196509,1.359377976
196510,1.101555357
196511,1.371277381
196512,1.62689881
196601,4.480163095
196602,1.907996429
196603,-1.915986905
196604,0.587896429
196605,-2.285647024
196606,0.893769643
196607,0.190021429
196608,-0.908429762
196609,-0.352420238
196610,0.575225
196611,-2.551640476
196612,-0.211514881
196701,3.879409524
196702,0.470778571
196703,-0.491473214
196704,-0.665470238
196705,1.60155119
196706,3.144174405
196707,2.449646429
196708,0.021673214
196709,1.225632738
196710,0.898709524
196711,-0.912575595
196712,4.142947619
196801,5.758166667
196802,-1.091297619
196803,-0.473173214
196804,1.004814286
196805,2.752829167
196806,1.16908869
196807,3.063433333
196808,1.140634524
196809,0.841695833
196810,0.204329762
196811,-0.857040476
196812,1.617569048
196901,2.073575595
196902,-0.940477381
196903,0.681680952
196904,0.816653571
196905,1.208950595
196906,-2.535539881
196907,0.079586905
196908,-1.60517619
196909,-1.836207143
196910,-1.112394643
196911,-0.623153571
196912,-1.286651786
197001,1.1927
197002,3.635785119
197003,1.43605119
197004,2.964517857
197005,1.90172619
197006,-2.17043869
197007,-0.035972024
197008,-0.806282738
197009,0.793375595
197010,-2.482697619
197011,-1.442358929
197012,-0.325564286
197101,3.355746429
197102,-0.541882143
197103,-2.225678571
197104,1.783175
197105,-1.913605952
197106,-2.699549405
197107,-1.348019643
197108,0.724836905
197109,-3.449941071
197110,-1.92393631
197111,-2.887173214
197112,0.802613095
197201,5.220554762
197202,-1.526602381
197203,-1.659769048
197204,0.389820238
197205,-3.19404881
197206,-1.650507738
197207,-0.555352381
197208,1.64655
197209,-2.036694048
197210,-0.183955952
197211,0.151517857
197212,-2.629863095
197301,1.042925
197302,1.216391071
197303,1.233679762
197304,2.543048214
197305,-1.617158929
197306,1.702286905
197307,0.354566667
197308,-0.133139286
197309,0.49589881
197310,4.334728571
197311,1.897539881
197312,1.226240476
197401,6.978890476
197402,2.23102381
197403,-0.398667262
197404,-0.324742857
197405,-2.337590476
197406,0.327445833
197407,4.292839881
197408,3.086352381
197409,3.532932738
197410,-6.290041667
197411,0.6002625
197412,-3.105308333
197501,8.767146429
197502,-0.303892262
197503,-0.130225
197504,-0.684708929
197505,2.91792381
197506,2.125070238
197507,2.627804762
197508,-2.91158869
197509,-0.527392857
197510,-2.24038631
197511,0.383420238
197512,0.004678571
197601,6.682583929
197602,5.955750595
197603,0.804654762
197604,-0.346585714
197605,-2.219014286
197606,-0.5023125
197607,1.939990476
197608,0.247132143
197609,-0.321932143
197610,0.291238095
197611,0.596090476
197612,2.902489286
197701,3.961542262
197702,1.406866667
197703,1.0259375
197704,1.175394643
197705,-0.09132619
197706,0.088748214
197707,0.963391667
197708,-1.147128571
197709,-0.551216667
197710,-0.257123214
197711,1.698932738
197712,0.201355952
197801,3.784322024
197802,0.983941071
197803,1.9116625
197804,-2.538197024
197805,1.158459524
197806,1.346147024
197807,-2.152442857
197808,0.254830952
197809,1.795983929
197810,-1.32646369
197811,-1.671902976
197812,-0.713390476
197901,3.536553571
197902,2.376278571
197903,-0.672179762
197904,-0.165615476
197905,1.179377976
197906,1.803641071
197907,0.06553631
197908,-1.592427381
197909,-1.229170833
197910,-0.623907738
197911,-1.623669048
197912,-0.399941667
198001,1.234284524
198002,1.413358929
198003,-1.554500595
198004,1.455975595
198005,-0.729865476
198006,-0.029490476
198007,-5.081775595
198008,-2.755932738
198009,-3.190119643
198010,-1.463145238
198011,-5.065206548
198012,0.970795833
198101,4.917138095
198102,0.353514286
198103,0.659427976
198104,-1.112660119
198105,-0.810971429
198106,3.023258929
198107,-0.583932143
198108,0.83993869
198109,0.774144048
198110,-4.002516071
198111,1.839804167
198112,0.056430952
198201,2.133911905
198202,4.139257738
198203,1.349963095
198204,-1.731392857
198205,0.413890476
198206,0.034532143
198207,-0.456384524
198208,2.606896429
198209,-1.524916667
198210,-2.169895833
198211,-1.07655119
198212,1.197833929
198301,-0.270994643
198302,-0.297901786
198303,1.662683333
198304,0.268229762
198305,-0.265894643
198306,-3.11386369
198307,0.841692857
198308,2.416570238
198309,0.747735119
198310,2.427001786
198311,0.683528571
198312,-0.242151786
198401,2.19873869
198402,0.943583333
198403,0.887586905
198404,-1.694228571
198405,-1.360971429
198406,-2.775525595
198407,-0.895797024
198408,0.134554167
198409,0.7740875
198410,1.393126786
198411,2.367820238
198412,-0.506667857
198501,-2.696120238
198502,-1.225823214
198503,0.981676786
198504,0.235767857
