Date,Growth,Value
192701,-0.28,4.33
192702,4.96,8.14
192703,1.2,-2.64
192704,2.91,0.41
192705,5.41,8.92
192706,-0.98,-2.22
192707,9.14,6.72
192708,3.9,-1.51
192709,5.3,5.05
192710,-3.51,-6.5
192711,7.16,7.2
192712,2.57,3.31
192801,-0.35,-1.36
192802,-0.78,-2.97
192803,12.21,8.1
192804,2.97,5.43
192805,2.68,0.98
192806,-3.72,-5.67
192807,1.32,0.46
192808,8.67,6.18
192809,3.02,4.64
192810,1.49,2.08
192811,11.1,12.81
192812,0.93,0.81
192901,6.37,2.34
192902,-0.55,2.55
192903,-1.49,-0.9
192904,2.17,2.37
192905,-5.82,-7.41
192906,12.35,7.26
192907,3.5,4.79
192908,7.13,5.88
192909,-4.42,-5.95
192910,-24.14,-11.7
192911,-14.29,-8.26
192912,3.29,0.93
193001,7.16,3.58
193002,3.44,1.62
193003,6.84,6.05
193004,-2.44,-6.23
193005,0.64,-1.58
193006,-17.84,-12.81
193007,4.43,4.69
193008,1.14,-1.81
193009,-12.05,-17.52
193010,-9.44,-11.35
193011,-2.33,-5.77
193012,-5.86,-11.33
193101,4.77,13.93
193102,12.87,13.16
193103,-4.2,-8.49
193104,-8.88,-12.82
193105,-11.38,-19.07
193106,12.82,24.23
193107,-5.19,-10.21
193108,0.88,-1.35
193109,-28.85,-34.55
193110,9.51,9.24
193111,-6.14,-12.86
193112,-11.58,-21.53
193201,-3.4,8.13
193202,7.06,0.9
193203,-10.2,-13.44
193204,-18.13,-17.75
193205,-19.21,-22.62
193206,-1.7,5.93
193207,28.21,66.74
193208,31.41,67.13
193209,-1.05,-6.74
193210,-10.78,-23.48
193211,-2.71,-15.53
193212,6.79,-5.94
193301,0.01,9.32
193302,-14.96,-18.11
193303,0.99,8.74
193304,33.8,57.09
193305,17.21,48.48
193306,11.54,21.23
193307,-8.9,-8.93
193308,10.6,17.28
193309,-9.14,-19.59
193310,-6.18,-17.24
193311,9.66,11.76
193312,2.13,2.96
193401,9.94,26
193402,-2.37,-2.52
193403,0.03,-0.53
193404,-1.74,-4.17
193405,-6.41,-13.27
193406,2.64,2.01
193407,-8.42,-23.36
193408,6.12,6.64
193409,-0.27,-0.59
193410,-0.42,-6.92
193411,10.31,10.92
193412,0.8,-1.69
193501,-3.04,-8.37
193502,-0.89,-11.87
193503,-3,-8.36
193504,8.02,12.63
193505,3.08,3.6
193506,6.38,6.93
193507,7.01,16.49
193508,2.58,5.22
193509,4.68,1.04
193510,6.65,6.15
193511,3.08,15.21
193512,3.01,7.67
193601,3.37,13.75
193602,1.92,7.07
193603,2.61,-0.74
193604,-7.24,-11.09
193605,5.06,6.87
193606,3.57,0.04
193607,6,11.94
193608,0.3,4.33
193609,0.94,0.81
193610,6.36,8.45
193611,3.52,0.7
193612,-1.75,1.73
193701,3.68,6.7
193702,-0.14,6.83
193703,-1.76,5.65
193704,-6.89,-11.04
193705,0.23,-3.09
193706,-4.21,-7.75
193707,9.25,10.96
193708,-4.22,-7.6
193709,-12.59,-19.57
193710,-10.19,-14.06
193711,-8.81,-8.45
193712,-4.36,-7.16
193801,1.39,-0.33
193802,6.43,5.9
193803,-23.67,-30.32
193804,13.98,16.2
193805,-3.64,-6.01
193806,25.85,29.84
193807,6.87,10.02
193808,-0.49,-5.83
193809,1.3,-1.24
193810,7.04,14.65
193811,-1.21,-3.31
193812,3.38,7.8
193901,-5.27,-10.93
193902,3.38,6.79
193903,-9.93,-21.67
193904,-0.14,-2.47
193905,6.95,9.42
193906,-4.43,-11.34
193907,11.4,13.98
193908,-6.42,-10.96
193909,13.98,43.23
193910,0.04,-4.29
193911,-2.72,-10.22
193912,3.6,0.85
194001,-2.2,-5.31
194002,1.3,2.66
194003,2.42,2.2
194004,-0.03,0.84
194005,-22.19,-26.25
194006,4.94,8.51
194007,3.4,3.3
194008,2.19,3.25
194009,3.18,1.67
194010,0.94,7.82
194011,-1.88,-0.57
194012,0.57,-0.18
194101,-5.03,-1.34
194102,-1.61,-0.76
194103,0.54,3.44
194104,-6.51,-2.5
194105,0.96,2.25
194106,6.15,3.78
194107,3.84,11.33
194108,0.65,-1.98
194109,-0.06,-1.71
194110,-6.09,-3.18
194111,-2.25,-1.88
194112,-4.69,-9.84
194201,-1.66,11.2
194202,-2.26,-2.25
194203,-5.81,-6.05
194204,-4.62,-2.99
194205,7.32,0.8
194206,3.02,2.72
194207,2.7,7.13
194208,1.74,3.85
194209,2.6,3.99
194210,5.36,12.44
194211,1.04,-4.33
194212,4.86,5.41
194301,5.46,12.06
194302,4.88,12.32
194303,4.21,11.83
194304,-0.1,3.62
194305,5.08,8.4
194306,2.13,0.11
194307,-4.77,-5.98
194308,1.48,0.3
194309,2.21,3.02
194310,-1.43,0.45
194311,-4.8,-9.51
194312,5.7,8.02
194401,0.89,4.94
194402,0.08,2.13
194403,2.2,4.1
194404,-1.41,-1.99
194405,4.63,5.72
194406,5.02,7.89
194407,-1.61,-0.94
194408,1.44,1.25
194409,0.36,-0.21
194410,-0.06,-0.14
194411,1.16,3.23
194412,2.58,9.85
194501,0.88,3.51
194502,5.19,10.05
194503,-3.23,-4.94
194504,6.78,10.73
194505,2.03,1.81
194506,-1.1,3.97
194507,-1.49,-4.4
194508,8.56,3.22
194509,4.63,5.72
194510,2.52,5.8
194511,3.15,9.05
194512,1.87,-0.11
194601,6.26,8.95
194602,-5.9,-7.65
194603,5.23,5
194604,3.79,2.97
194605,3.35,6.53
194606,-4.43,-4.22
194607,-2.85,-2.71
194608,-6.44,-6.35
194609,-10.01,-12.27
194610,-2.54,0.51
194611,-0.3,-0.01
194612,5.3,3.98
194701,2.3,2.11
194702,0,-1.48
194703,-1.87,-1.63
194704,-5.35,-5.07
194705,-1.32,-2.24
194706,6.35,4.61
194707,3.58,7.29
194708,-1.86,-2.05
194709,-0.63,0.21
194710,2.28,2.99
194711,-2.17,-1.89
194712,1.95,6.05
194801,-4.43,-2.9
194802,-4.7,-4.86
194803,7.76,11.18
194804,2.24,6.75
194805,8.54,7.78
194806,-0.71,1.53
194807,-5.01,-4.49
194808,0.8,0.47
194809,-2.74,-3.93
194810,6.34,6.16
194811,-8.39,-13.33
194812,4.8,2.03
194901,0.59,1.52
194902,-2.58,-4.22
194903,4.3,5.42
194904,-2.06,-2.71
194905,-1.93,-5.29
194906,1.02,-2.29
194907,5.27,6.56
194908,2.73,2.67
194909,2.71,4.32
194910,3.31,3.43
194911,2.88,1.17
194912,5.36,7.33
195001,1,3.88
195002,1.58,0.97
195003,1.93,0.22
195004,4.38,5.76
195005,4.56,3.9
195006,-5.49,-5.75
195007,-3.37,12.78
195008,6.06,3.04
