Date,Agric,Food,Soda,Beer,Smoke,Toys,Fun,Books,Hshld,Clths,Hlth,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach,ElcEq,Autos,Aero,Ships,Guns,Gold,Mines,Coal,Oil,Util,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin,Other,Rf,Rm
192701,-3.66,-0.16,,0.57,-0.35,1.73,1.88,1.21,4.08,-1.06,,5.45,4.93,0.23,,-1.49,-1.85,-3.55,-0.39,,1.19,-1.02,-0.81,-2.29,-0.59,,,4.17,-3.06,1.67,-1.79,1.88,,5.84,0.73,,1.48,-3.01,,-2.6,1.41,-17.93,-2.7,1.52,-5.37,-0.82,-1.56,-3.02,-3.96,0.1413,0.2416228
192702,7.65,3.66,,12.83,1.49,-6.12,2.43,10.31,4.57,2.77,,5.19,0.68,9.69,,7.66,4.07,8.01,3.67,,7.85,4.3,9.56,-3.91,4.72,,,5.2,5.64,1.13,4.53,3.97,,5.86,6.82,,5.82,3.68,,5.46,5.17,3.49,3.47,6.86,8.3,0.66,4.3,1.98,0.28,0.2524,4.53701
192703,-0.6,2.74,,-13.56,5.51,-8.89,1.93,-7.83,-0.08,0.9,,1.25,0.93,6.07,,-5.38,3.42,5.04,1.48,,-2.24,0.4,1.56,0,-1.78,,,4.44,5.45,-7.01,0.37,5.56,,-3.99,5.94,,-12.3,6.26,,-9.67,1.02,-20.47,-0.3,-2.42,-7.96,7.34,-4.3,-1.45,2.18,0.2959,0.3756279
192704,5.39,2.1,,2.85,4.01,-0.41,-4.05,3.77,1.44,5.95,,-0.37,3.69,2.95,,0.46,-0.73,-8.67,-0.34,,1.82,6.29,2.91,-11.48,-0.61,,,3.02,0.95,-5.78,1.71,-2.13,,0.75,4.73,,8.82,1.43,,4.93,0.72,-10.75,4.38,6.56,-5.99,3.09,0.68,8.17,5.27,0.2546,0.7225051
192705,4.12,6.62,,11.62,11.8,-4.9,0.61,-1.48,10.54,3.37,,5.88,3.6,3.85,,13.21,7.99,-10.44,3.22,,8.74,8.23,5.54,31.94,10.78,,,0.25,3.19,5,9.21,3.35,,16.77,5.58,,-0.14,5.63,,5.36,7.01,-4.01,2.24,4.62,8.69,12.58,4.33,10.56,1.64,0.3667,5.777311
192706,-3.4,-1.94,,10.05,-2.3,-3.52,-8.08,-6,-3.03,1.17,,3.68,-0.39,-1.72,,2.29,-4.49,-13.78,-3.42,,-2.29,3.47,-3.37,14.49,-4.16,,,-1.93,-3.35,-3.14,-3.57,-2.14,,1.41,-1.93,,2,5.41,,5.44,-2.04,-4.18,-0.7,1.27,-10.47,0.84,3.59,0.05,-3.82,0.2583,-2.108671
192707,6.05,4.83,,4.59,4.39,2.64,0.93,-0.53,5.5,6.01,,11.44,9.33,17.69,,4.35,6.9,-0.8,10.33,,9.61,14.69,13.71,-2.78,12.22,,,8.72,2.19,2.91,5.31,3.73,1.79,2.37,2.53,,14.15,6.89,,12.02,5.98,11.11,10.11,4.68,3.34,13.37,3.91,0.76,6.81,0.2991,7.527909
192708,1.99,2.4,,-3.98,3.83,7.38,6.04,0.66,0.52,1.56,,-2.24,1.09,2.1,,0.49,-1.11,-2.11,3.97,,0.9,7.06,7.32,30.16,3.62,,,0.97,2.43,-0.26,3.43,0.43,2.86,7.99,9.68,,-11.47,0.75,,3.76,-1.66,-2.58,7.68,0.55,5.04,0.11,2.01,3.07,5.92,0.2963,2.249037
192709,7.33,5.77,,7.01,4.63,0.38,4.72,1.14,2.53,4.65,,8.71,4.7,5.97,,1.89,4.95,-0.97,3.77,,5.3,0.11,6.28,17.65,3.49,,,6.83,1.46,3.5,8.29,6.53,-1.39,7.18,4.93,,9.71,3.01,,3.37,4.31,5.6,7.61,5.94,4.55,8.16,-0.22,6.44,0.43,0.2096,4.992352
192710,-5.8,-1.75,,-0.8,-0.32,-1.27,0.47,-3.34,-1.84,9.65,,2.04,6.11,-7.46,,-2.39,-4.83,-0.12,-7.82,,-5.21,-8.22,-4.55,-18.33,-6.49,,,-3.17,-5.33,-1.73,-4.34,-2.09,2.82,4.57,0.43,,-3.35,-7.6,,0.14,-4.61,-21.78,-5.03,-1.75,2.61,10.75,-4.24,-0.53,-3.62,0.252,-4.07699
192711,6.51,7.31,,10.29,6.69,-3.4,4.52,8.27,2.73,2.06,,1.19,4.45,9.04,,5.11,6.01,-1.3,12.44,,11.5,11.38,6.77,19.39,7.95,,,8.24,7.48,3.87,6.32,2.83,-4.45,9.74,6.28,,25.06,8.86,,16.87,3.9,-1.3,12.11,3.01,11.7,7.09,9.68,7.46,11.19,0.1997,6.845258
192712,-0.82,4.42,,12.72,1.03,-7.83,4.12,3.95,10.31,-0.15,,-0.2,-0.54,-0.23,,2.41,-0.44,7.64,5.84,,2.92,1.19,7.67,40.56,2.05,,,13.43,-3.33,1.28,2.24,1.33,-5.11,-3.3,11.22,,-4.69,-3.42,,1.04,0.07,11.45,-0.66,-1.56,10.47,20.44,0.97,2.78,1.07,0.223,2.378212
192801,-1.89,3.4,,0.62,-2.56,-1.56,-0.24,2.91,3.67,7.07,,3.34,2.5,-1.08,,-1.1,1.39,8.29,-2.42,,-1.24,-1.01,-3.15,1.53,4.26,,,-1.66,-3.79,-1.69,5.87,0.3,0,2.86,3.6,,-0.64,-0.11,,1.51,-1.26,-0.95,-0.85,-1.58,-2.29,-0.78,1.67,6.04,-3.38,0.2225,-0.3339723
192802,0.43,-3.58,,-5.22,-5.97,-6.73,-0.26,-0.46,-0.01,-2.45,,-1.82,-1.25,0.73,,-4.77,1.47,3.03,-2.72,,-2.76,-1.46,0.94,-9.77,-4.47,,,-7.59,-1.33,-0.12,-0.68,-0.3,-5.38,-1.67,3.19,,-0.3,1.6,,0.86,-1.37,-8.29,-1.04,-2.59,-2.9,-1.65,1.96,-6.63,-2.68,0.2774,-1.447756
192803,1.71,5.77,,14.47,2.34,35.16,6.18,9.99,9.99,3.99,,10.07,10.76,13.16,,7.63,6.8,3.77,6.16,,6.5,26.17,27.86,24.83,6.09,,,7.37,5.23,5.33,6.62,1.96,5.6,-0.36,0.94,,12.83,3.26,,11.08,5.73,8.12,8.69,3.47,22.61,7.69,2.44,12.13,8.85,0.2936,9.047843
192804,-0.28,3.24,,4.87,-5.95,-2.06,6.36,2.79,3.59,9.96,,5.67,0.81,-0.26,,-4.04,2.91,2.68,1.43,,3.48,2.44,1.09,61.83,0.59,,,-0.57,1.95,16.25,10.94,3.22,7.27,13.77,2.03,,-0.53,1.69,,-0.25,4.46,-5.85,-0.03,0.47,10.92,4.85,23.11,10.05,10.95,0.2224,4.384581
192805,-0.78,2.02,,5.48,-0.03,10.07,0.88,11.19,-2.52,-0.99,,4.95,11.39,2.98,,-6.11,-1.93,19.82,5.52,,4.79,1.76,5.9,19.93,-2.62,,,1.16,0.49,-5.72,1.51,6.61,-2.2,9.63,0.48,,4.32,6.15,,6.13,-0.44,7.95,3.44,14.12,-1.27,0.75,6.06,3.2,-0.8,0.1536,1.769032
192806,-2.13,-4.25,,-4.21,-4.3,-11.05,-4.29,-9.55,-6.67,-7.13,,-1.88,-3.74,-2.95,,-10.61,-3.77,-4.86,-5.84,,-3.19,-5.71,-4.07,-11.69,-5.52,,,-3.56,-6.08,-3.91,-3.43,-5.22,-8.02,-8.38,-2.59,,-5.02,-3.03,,-5.74,-3.86,-7.41,-3.4,-2.81,-1.92,-9.77,-4.41,-14.78,-11.95,0.3122,-4.524517
192807,-0.29,1.27,,0.7,3.35,10.16,0.75,3.44,0.68,0.53,,-1.28,3.62,1.82,,-3.7,2.1,-2.71,2.74,,0.41,-1.01,1.28,5.54,-2.32,,,-1.24,-1.02,1.18,-1.24,-1.28,-4.15,-2.73,5.55,,6.12,5.04,,4.34,-0.33,0.35,5.72,-0.6,0.13,-0.47,-0.52,2.19,-0.8,0.3226,0.9399799
192808,1.68,8.79,,12.4,3.79,1.87,10.27,-0.1,9.55,0.18,,8.35,16.56,8.89,,1.91,4.56,-0.32,9.63,,7.58,12.3,9.1,14.19,4.97,,,8.18,1.84,2.44,6.46,4.55,-9.73,13.15,5.81,,1.61,1.08,,12.69,4.03,4.06,13.69,12.37,4.94,5.86,4.85,4.71,12.78,0.3849,7.020616
