Date ,Asset1,Asset2,Asset3,Asset4,Asset5,Asset6,Asset7,Asset8,Asset9,Asset10,Asset11,Asset12,Asset13,Asset14,Asset15,Asset16,Asset17,Asset18,Asset19,Asset20,Asset21,Asset22,Asset23,Asset24,Asset25,Asset26,Asset27,Asset28,Asset29,Asset30,Asset31,Asset32,Asset33,Asset34,Asset35,Asset36,Asset37,Asset38,Asset39,Asset40,Asset41,Asset42,Asset43,Asset44,Asset45,Asset46,Asset47,Asset48,Asset49,Asset50,Asset51,Asset52,Asset53,Asset54,Asset55,Asset56,Asset57,Asset58,Asset59,Asset60,Asset61,Asset62,Asset63,Asset64,Asset65,Asset66,Asset67,Asset68,Asset69,Asset70,Asset71,Asset72,Asset73,Asset74,Asset75,Asset76,Asset77,Asset78,Asset79,Asset80,Asset81,Asset82,Asset83,Asset84,Asset85,Asset86,Asset87,Asset88,Asset89,Asset90,Asset91,Asset92,Asset93,Asset94,Asset95,Asset96,Asset97,Asset98,Asset99,Asset100
196401,5.61,6.15,7.28,6.82,6.93,7.55,7.02,5.91,6.72,6.02,17.93,17.91,18.48,18.62,19.21,18.88,17.55,21.69,17.32,18.21,31.44,29.56,29.35,32.22,30.11,39.24,31.25,31.2,32.05,27.67,43.73,47.32,47.36,43.13,41.43,42.2,42.52,47.68,40.39,42.89,61.61,63.84,65.63,69.07,63.76,60.31,57.54,55.92,72.11,62.37,96.52,95.12,82.01,88.57,86.26,92.71,95.54,87.62,94.05,85.17,129.09,157.62,144.85,147.13,139.83,137.1,122.53,144.94,140.55,167.44,217.06,224.05,222.08,235.99,243.37,256.71,230.33,237.71,259.68,252.97,439.56,474.69,496.28,452.92,459.71,481.82,470.19,471.67,495,475.81,857.87,1416.85,1762.55,3310.66,4838.94,1315.77,1252.21,3262.01,1610.16,3778
196402,6.03,6.46,7.65,7.15,7.19,7.78,7.87,5.75,6.9,6.3,17.77,19.11,17.83,19.99,20.29,18.78,19.03,22.43,17.54,18.17,31.97,30.19,30.08,32.97,30.88,39.91,34.09,31.98,31.97,27.86,43.31,49,47.47,44.89,40.85,44.55,43.84,44.77,41.77,43.81,62.66,68.69,64.56,70.56,65.49,62.96,58.08,58.52,80.37,62.19,100.08,95.58,83.6,92.63,87.72,89.55,101.58,84.98,96.01,87.58,132.29,160.19,145.83,148.87,147.27,135.64,121.52,147.12,140.47,170.89,222.03,231.59,219.8,240.2,245.97,262.37,232.49,238.55,259.16,257.5,457.54,484.91,503.76,465.86,459.81,480.93,476.85,467.64,505.14,482.26,860,1450.12,1809.85,3497.57,5005.83,1330.89,1258.76,3353.73,1651.85,3912.19
196403,6.26,6.75,7.7,7.24,7.24,7.63,7.77,6.1,7.08,6.27,18.43,19.34,17.43,20.14,20.21,18.5,18.76,22.39,17.46,19.2,33.05,30.73,29.94,34.41,31.97,37.33,32.51,32.22,34.23,29.11,44.65,51.39,47.58,45.45,41.74,44.42,44.39,44.15,44.27,43.98,64.85,70.08,66.91,74.3,66.57,62.94,58.4,60.4,81.44,63.48,103.9,98.54,84.07,92.39,90.82,90.19,104.66,83.31,98.51,90.02,134.38,162.84,147.2,151.76,148.2,140.14,124.91,147.71,143.05,179.96,221.2,234.57,226.14,241.13,252.39,275.54,237.19,243.9,266.74,264.41,471.53,486.15,519.08,477.36,471.97,482.4,483.12,475.68,501.84,517.43,910.05,1461.54,1829.62,3520.5,4996.74,1346.69,1270.68,3397.87,1683.42,3973.73
196404,6.42,6.73,7.98,7.46,7.32,7.92,8.36,5.85,7.22,6.5,18.83,20.12,17.19,20.65,20.2,18.69,18.67,23.61,17.29,19.32,35.79,31.93,31.54,36.57,33.04,37.3,33.43,33.33,35.06,28.81,46.7,52.6,50.63,48.03,43.31,45.17,44.84,45.96,44.76,47.1,71.2,75.97,70.24,74.64,69.11,68.28,60.46,60.71,78.41,66.66,112.1,105.37,87.1,95.77,88.64,89.43,111.03,84.92,100.64,91.97,135.12,173.73,153.87,153.75,159.14,142.12,126.3,146.12,149.21,179.01,237.76,238.17,238.1,245.59,257.57,285.75,240.5,253.48,269.84,279.63,461.54,515.86,543.47,480.57,483.77,484.11,485.18,484.48,514.76,518.09,891.48,1478.39,1889.38,3600.37,4960.66,1347.48,1305.5,3411.73,1720.22,4047.8
196405,6.38,6.67,8.01,7.86,6.97,7.82,8.01,5.91,7.19,6.39,19.09,19.49,17.16,20.68,20.69,19.23,18.9,25.2,17.07,18.88,35.31,31,30.35,35.38,33.35,34.81,33.68,33.2,35.66,27.59,45.66,54.74,49.95,49.62,41.79,45.07,43.77,43.16,45.33,47.03,67.4,74.62,69.66,73.73,69.08,64.24,57.86,59.04,76.82,64.67,111.71,102.23,84.68,97.49,90.59,92.61,101.12,83.03,98.65,92.99,135.58,215.63,156.52,152.75,156.4,140.39,124.01,150.11,142.65,163.61,233.24,238.33,238.84,242.91,256.47,281.4,242.23,248.87,273.13,263.28,413.59,491.81,541.15,478.04,477.63,485.14,487.7,480.06,502.44,535.63,927.75,1560.69,1916.86,3711.47,5024.25,1329.41,1313.86,3311.97,1715.72,4102.66
196406,6.47,6.7,8.05,7.83,7.31,7.79,8.06,5.8,7.35,6.27,19.7,19.46,16.64,20.57,21.13,18.91,18.06,25.55,16.6,18.43,36.88,31.23,30.2,36.23,34.16,36.07,33.9,33.52,37.2,28.04,48.19,57.37,50.36,49.66,40.94,45.28,42.82,42.06,44.71,49.81,66.82,76.02,67.97,74.45,68.51,63.42,57.78,59.11,75.59,68.56,115.26,102.03,81.6,95.63,92.08,96.66,101.46,81.2,99.73,93.07,141.18,215.1,160.75,155.52,156.52,140.91,126.58,152.22,140.07,176.26,234.02,241.71,242.37,242.81,256.9,291.85,246.44,250.85,278.96,269.23,371.63,485.42,542.46,489.05,486.82,485.58,485.97,477.84,505.3,544.94,951.65,1529.69,1998.23,3762.85,5029.92,1324.32,1327.02,3309.18,1736.43,4218.91
196407,6.58,6,8.8,7.41,7.8,10.43,6.9,7.62,7.95,7.13,19.46,19.94,21.75,20.54,19.36,19.97,20.86,19.62,19.31,21.38,30.41,32.13,33.56,30.98,34.43,34.17,33.11,39.4,33.93,32.16,48.46,47.12,51.26,49.61,44.75,47.46,46.48,46.48,51.83,48.94,65.19,70.34,65.96,68.72,67.56,64.46,64.1,67.85,76.84,66.22,91.15,95.98,95.64,92.84,95.59,93.93,94.22,97.8,98.74,95.99,161.57,140.46,161.06,154.36,151.71,154.77,153.7,159.38,148.51,145.59,251.1,258.19,244.2,247.57,271.63,282.11,256.9,260.11,259.29,257.84,439.07,528.41,596.57,528.69,508.65,499.86,504.7,496.42,512.58,444.19,1037.76,1782.64,1642.7,3915.54,6543.47,1221.2,1236.73,2177.71,2182.23,3758.16
196408,6.83,6.29,9.27,7.61,8,10.72,7.15,7.93,8.07,7.53,19.94,20.33,23.51,20.47,19.31,20.83,21.62,19.59,19.9,21.36,31.47,33.66,34.98,31.66,35.53,35.84,34.56,42.02,35.79,33.73,49.21,49.05,51.46,50.57,45.69,46.73,46.66,45.88,51.16,50.36,64.5,69.86,68.64,74.43,68.37,66.12,65.65,69.5,75.69,66.04,94.8,96.82,101.39,97.29,97.92,98.78,98.11,97.91,102.65,95.92,157.36,143.48,166.59,154.19,154.81,158.39,159.1,165.7,149,145.65,247.51,259.15,249.88,253.37,272.38,284.25,263.55,266.57,268.51,261.76,456.71,541.26,605.55,528.14,520.37,521,527.56,527.88,529.26,451.45,1026.57,1834.46,1656.68,4007.79,6459.04,1264.42,1271.37,2217.36,2230.07,3846.25
196409,6.8,6.47,9.25,7.48,7.98,10.57,7.14,7.9,7.88,7.38,20.17,19.96,23.28,20.22,19.24,20.21,21.56,18.81,19.58,21.69,30.72,33.43,34.15,30.72,35.13,34.69,34.82,39.53,35.89,34.36,47.69,47.45,50.58,49.28,44.34,45.84,48.17,45.86,51.69,47.88,61.37,69.44,68.89,73.74,68.17,63.58,65.83,70.35,71.64,66.05,92.45,95.34,100.35,98.22,97.01,96.64,95.97,98.66,102.54,89.98,152.22,142.28,167.84,159.6,152.22,158.36,155.94,167.02,145.78,140,249.27,261.67,253.03,253.84,273.02,292.78,263.95,263.46,265.7,249.53,451.59,537.15,584.97,513.42,521.88,515.23,511.04,523.77,517.34,434.53,965.5,1790.15,1625.67,3894.58,6339.44,1256.86,1260.18,2182.98,2195.59,3783.51
196410,6.96,7.09,9.59,7.82,8.12,11.14,7.45,8.18,8.29,7.98,20.2,19.76,24.66,21.46,20.96,20.52,22.53,19.9,20.79,21.9,31.96,34.35,34.61,31.23,35.77,35.43,34.04,38.31,38.41,34.33,51.12,49.09,51.31,50.75,44.8,48.08,47.63,45.34,50.57,49.63,63.34,70.5,69.87,76.65,70.5,67.26,64.56,72.16,72.51,67.63,92.93,95.19,105.01,103.2,97.73,98.14,95.44,100.56,104.3,93.32,163.79,146.26,176.89,162.59,154.59,161.37,161.44,168.72,151.95,144.36,249.94,267.51,266.82,258.73,283.86,303.89,266.63,267.63,283.06,272.77,526.51,577.23,610.2,525,537.19,525.03,520.81,526.99,530.71,443.38,983.48,1842.9,1698.8,4030.4,6333.04,1288.43,1300.12,2299.71,2282.26,3871.98
