Date ,Asset1,Asset2,Asset3,Asset4,Asset5,Asset6,Asset7,Asset8,Asset9,Asset10,Asset11,Asset12,Asset13,Asset14,Asset15,Asset16,Asset17,Asset18,Asset19,Asset20,Asset21,Asset22,Asset23,Asset24,Asset25,Asset26,Asset27,Asset28,Asset29,Asset30,Asset31,Asset32,Asset33,Asset34,Asset35,Asset36,Asset37,Asset38,Asset39,Asset40,Asset41,Asset42,Asset43,Asset44,Asset45,Asset46,Asset47,Asset48,Asset49,Asset50,Asset51,Asset52,Asset53,Asset54,Asset55,Asset56,Asset57,Asset58,Asset59,Asset60,Asset61,Asset62,Asset63,Asset64,Asset65,Asset66,Asset67,Asset68,Asset69,Asset70,Asset71,Asset72,Asset73,Asset74,Asset75,Asset76,Asset77,Asset78,Asset79,Asset80,Asset81,Asset82,Asset83,Asset84,Asset85,Asset86,Asset87,Asset88,Asset89,Asset90,Asset91,Asset92,Asset93,Asset94,Asset95,Asset96,Asset97,Asset98,Asset99,Asset100,Rf,Rm
196401,7.4029,4.997,5.0287,4.8671,3.713,3.3208,11.8994,-2.8291,2.7566,4.7103,-0.9988,6.8377,-3.3545,7.2545,5.4638,-0.6077,8.2524,3.2695,1.3028,0.0976,1.7217,2.0689,2.4825,2.2534,2.406,1.7189,8.9368,2.3314,-0.4045,0.7037,-1.0412,3.3994,0.4203,3.9298,-1.4097,5.5832,3.2672,-6.0716,3.554,2.0541,1.5475,7.4519,-1.6471,2.1485,2.7441,4.415,0.9054,4.4911,11.311,-0.2637,3.6526,0.3309,1.9395,4.4331,1.6728,-3.4282,6.1737,-2.9814,2.0847,2.7607,2.6624,1.4763,0.7619,1.1891,5.1672,-1.018,-0.8037,1.6645,-0.2037,1.9128,2.1402,3.2161,-0.8459,1.7515,0.9199,2.2203,0.7885,0.3654,-0.3521,1.7512,3.9409,2.0049,1.5064,2.7065,0.0755,-0.0081,1.3526,-0.8491,1.9894,1.2349,0.0983,2.2783,2.7579,5.5578,3.346,1.1236,0.6518,2.7648,2.5834,3.4218,0.3224,2.579008
196402,3.768,4.5947,0.7795,1.6235,0.5195,-2.0962,-1.1441,6.17,2.6676,-0.4199,3.8496,1.1046,-2.2587,1.0409,0.0816,-1.409,-1.574,0.2213,-0.3265,5.7833,3.2224,1.9142,-0.2227,4.7956,3.9223,-6.6065,-4.8005,0.9686,7.0816,4.3574,3.1185,5.1404,0.3984,1.6995,2.147,-0.1173,1.3572,-1.5287,6.1375,0.4612,3.569,2.1957,3.9954,5.1478,1.9357,0.1414,0.7847,3.4873,1.4564,2.2974,4.1454,3.0454,0.8273,0.4603,3.785,0.7741,3.4198,-1.8264,2.7829,2.8285,1.9555,2.0019,1.0559,2.0412,0.6547,3.7006,2.8833,0.5506,2.166,5.5601,-0.1959,1.932,3.205,0.6653,2.8529,5.3835,2.0024,2.3968,3.0902,2.8884,2.9068,0.5735,3.3939,2.893,2.7721,0.4925,1.5498,1.8343,-0.6041,7.6875,6.0387,1.4609,1.4905,1.2742,0.2734,1.33,1.0881,1.4488,2.049,2.0159,0.2678,1.72073
196403,2.5878,-0.2799,3.9277,3.0005,1.2215,3.8358,7.4058,-4.0054,2.1633,3.5933,2.2648,4.3275,-1.1927,2.6142,-0.0026,1.0989,0.2031,5.4058,-0.7981,0.6523,8.4639,4.0335,5.4266,6.2204,3.315,0.3727,3.6998,3.8996,2.9724,-0.8504,4.7074,2.4016,6.5116,5.8586,4.1699,1.8725,1.0847,4.4248,1.0817,7.2848,10.2131,8.5454,5.23,0.6804,3.9407,8.6921,3.6607,0.5931,-3.5617,5.1341,8.0548,7.4326,3.5989,3.5742,-2.3002,-0.4857,6.7476,2.0168,2.4999,2.3129,0.3959,6.815,4.793,1.7774,7.9213,1.2648,1.335,-0.9198,4.3516,-0.6784,7.6316,1.3821,5.1348,2.092,2.4463,3.5729,1.7935,4.0329,1.2431,5.6318,-1.9297,6.5059,4.7448,0.8187,2.6907,0.2404,0.4017,2.0053,2.8711,0.1374,-1.8751,1.0029,3.212,2.1187,-0.8415,0.2677,2.7539,0.4807,2.2237,1.7364,0.3407,1.763623
196404,-0.8452,-0.9492,0.3358,5.316,-4.6805,-1.0665,-4.254,0.9414,-0.3616,-1.5897,1.2718,-3.068,-0.1597,-0.0213,2.3723,2.8568,1.0636,6.6904,-1.1372,-2.2799,-1.3309,-2.9775,-3.8074,-3.2489,0.785,-6.6371,0.6039,-0.5358,1.5651,-4.2432,-2.2536,3.9251,-1.1573,3.2244,-3.5299,-0.1968,-2.0694,-6.2514,1.4337,-0.2094,-5.487,-1.9234,-0.8436,-1.2418,-0.0248,-5.6268,-4.3446,-2.8392,-2.1865,-2.9667,-0.4013,-3.1332,-2.7846,1.6412,2.2085,3.8597,-9.0789,-2.1746,-2.1303,1.1437,0.5119,23.9629,1.7903,-0.6979,-1.8752,-1.0698,-1.78,2.8949,-4.5483,-8.7547,-2.051,-0.0832,0.5955,-1.1302,-0.578,-1.4427,0.6897,-1.8149,1.0687,-5.9012,-10.5396,-4.6408,-0.4402,-0.6763,-1.2256,0.3986,0.5025,-0.9084,-2.455,3.2623,4.0376,5.4937,1.5142,2.9533,1.1781,-1.3691,0.7153,-2.9754,-0.335,1.2238,0.3194,0.4607358
196405,1.4296,0.5886,0.5513,-0.2366,4.687,-0.4944,0.6694,-1.842,2.1088,-1.9003,3.3223,-0.1106,-3.0562,-0.3292,2.5584,-1.6402,-4.5789,1.7652,-2.6246,-2.3063,4.4282,0.8986,-0.1338,2.7866,2.7278,3.4736,0.5226,1.149,4.3193,1.4825,5.7756,5.0127,0.9569,0.4726,-2.0522,0.6483,-2.0631,-2.6999,-1.2209,5.974,-0.8161,2.127,-2.0953,0.8381,-0.549,-1.4171,0.1325,0.5128,-1.4498,6.141,3.4598,-0.1383,-3.3724,-1.194,2.1661,4.3661,0.4524,-2.0623,1.3649,0.0045,4.5342,-0.0057,2.8,1.866,-0.0733,0.6281,2.1569,1.5491,-1.5361,8.0066,0.4975,1.6616,1.6624,0.232,0.3952,4.055,1.727,0.8222,2.3345,2.7102,-10.2949,-1.1635,0.5689,2.7246,2.1014,0.2785,-0.1252,-0.3575,0.6191,2.0783,2.7669,-1.3708,4.6119,2.0032,0.5656,-0.2317,1.1305,0.0534,1.4033,3.5111,0.2796,1.740315
196406,2.1538,-3.5742,0.8392,8.2301,-0.0385,3.847,-0.809,3.8998,0.963,3.61,0.0237,-1.5011,3.253,-2.4312,-0.3719,-2.365,3.5215,2.4512,3.374,-1.048,4.7393,3.246,1.6794,3.3268,4.8215,-3.8455,-1.1698,-3.0049,4.8845,-0.726,0.2979,-1.4049,2.4938,0.2805,6.1295,-3.6653,1.6356,-0.6594,2.3382,4.1084,-0.8727,2.1225,3.684,3.6082,4.1674,5.5543,1.9479,3.1094,0.2765,3.3176,2.2807,1.4593,2.8564,2.5178,4.0703,1.8824,-1.5089,0.8169,1.1478,0.0432,2.8852,-1.9186,2.8775,0.8098,-1.3522,0.0462,1.4489,0.9836,0.4084,8.1265,0.4818,-0.017,1.6541,1.2698,3.5818,3.3842,-0.4242,1.5333,-0.7697,0.7385,6.8392,1.5407,3.4744,-0.2174,3.2855,0.105,2.5887,0.731,0.0407,1.0218,4.3391,1.9157,0.7522,0.1994,4.8955,3.2372,1.5254,-0.8544,1.83,0.1234,0.3248,1.507987
196407,3.7023,4.8187,5.3589,2.7793,2.5995,2.9444,3.7418,4.0675,1.7296,5.5571,2.3718,2.0481,7.9843,-0.3,-0.208,4.2781,3.6335,-0.2154,3.1473,0.0395,3.5102,4.6608,4.4831,2.066,3.2786,4.7384,4.3947,6.5073,5.3337,4.8482,1.5188,4.0361,0.2526,1.9525,2.1867,-1.4916,0.7573,-1.2526,-1.2151,2.762,-1.2083,-0.663,3.9799,8.1584,1.2234,2.4286,2.257,2.2838,-1.6538,-0.2664,4.1038,0.7247,5.9686,4.8513,2.2852,5.3401,3.9797,0.4015,3.9039,-0.1485,-2.5376,2.193,3.538,-0.1943,2.0409,2.3404,3.4279,4.0361,0.3244,-0.0015,-1.5807,0.2233,2.2424,2.3896,0.128,0.9121,2.6162,2.4626,3.4067,1.3729,3.8677,2.4211,1.6455,-0.2079,2.2826,4.415,4.5457,6.3294,3.188,1.5562,-1.0719,2.8388,0.9213,2.2593,-1.4149,3.5721,2.7276,1.9143,2.0604,2.2278,0.3193,2.011832
196408,-0.4694,3.0253,0.1342,-1.6563,-0.1862,-1.5363,-0.1408,-0.4727,-2.4671,-1.9586,1.1871,-1.7029,-0.5899,-1.072,-0.3514,-2.7174,-0.3288,-3.7816,-1.5345,1.5858,-2.528,-0.3386,-2.5085,-2.5956,-0.9381,-3.2184,1.0909,-6.0725,0.5869,1.7806,-2.6792,-2.7872,-1.3832,-2.6289,-2.467,-1.6324,3.3434,-0.2078,1.2364,-5.0764,-4.4403,-0.4531,0.6198,-0.9133,-0.0515,-3.4462,0.6185,1.501,-5.4935,0.1778,-2.2904,-1.5576,-0.9025,1.3278,-0.7362,-2.192,-1.9091,0.8056,-0.0844,-6.1911,-3.0572,-0.6608,1.0363,3.7289,-1.4926,0.0832,-1.6234,0.788,-2.1028,-3.6749,0.8703,1.4113,1.7209,0.4048,0.4174,3.1943,0.195,-1.0419,-0.7957,-4.483,-1.1606,-0.5383,-2.9796,-2.6743,0.5,-1.0725,-2.9519,-0.5558,-2.2163,-3.4612,-5.6359,-1.8267,-1.5051,-2.2448,-1.4132,-0.4646,-0.5367,-1.5828,-1.2491,-1.2784,0.3001,-1.126617
196409,2.3105,9.6047,3.7723,4.9479,2.0473,5.4599,4.4814,3.4565,5.5353,8.0676,0.2457,-0.971,6.1852,6.1304,8.8641,1.6885,4.5755,5.8155,6.3278,1.0322,4.1382,2.978,1.5787,1.8294,1.8478,2.6527,-2.0243,-2.6107,7.1661,0.1381,7.2378,3.3861,1.5499,3.2159,0.9691,4.8506,-1.1805,-0.8411,-2.1684,3.9483,3.481,1.615,1.567,4.4084,3.4065,5.8796,-1.6522,2.6493,1.0597,2.3428,0.6495,0.3063,4.7365,5.1092,1.0778,1.6179,-0.2017,1.994,2.0884,3.7683,7.4533,3.1228,5.4045,2.1927,1.6854,2.2829,3.5264,1.3319,4.2606,3.009,0.1177,2.4031,5.5345,2.0274,4.3044,3.9816,1.1316,1.7349,6.686,9.2071,16.4402,7.7023,4.1623,2.6266,2.9572,1.9852,1.9721,0.6844,2.8013,1.9694,1.7123,2.8795,4.4694,3.3492,-0.2189,2.7193,3.1759,5.4891,3.8724,2.2215,0.2836,3.048012
196410,3.6106,-0.7748,0.8941,2.7747,1.25,0.6053,3.0448,5.8046,1.2262,2.5476,3.477,-1.2009,0.8298,3.1434,0.7616,7.7378,0.8404,-0.6797,0.5275,3.1449,4.367,-1.2631,0.8382,0.7446,-1.4444,2.8026,1.6526,-0.6239,-1.9565,3.8052,-4.1064,7.6688,0.6548,2.9846,2.0702,0.3504,3.9079,-3.1933,1.6937,1.3867,1.4091,2.1077,-0.1955,1.4942,5.7845,-3.2688,1.5449,3.3724,9.0133,4.9221,2.1055,-0.1584,5.5934,0.9127,2.392,0.044,-4.0959,2.1877,2.7361,6.3214,1.2776,0.8025,3.8136,3.4468,1.7291,-0.1399,1.487,0.9148,0.143,-0.3792,1.1924,2.4947,3.4332,2.9644,2.5776,-1.5744,1.2997,4.2258,-1.3942,3.797,-4.7846,0.9144,-0.9641,0.2558,1.0858,0.7303,1.4651,1.563,0.8521,-3.2211,1.223,6.0702,-0.2848,2.6722,-0.4571,-0.4877,2.8415,0.7261,-0.4856,-0.8197,0.3194,0.8869302
