Date,fb,amzn,brk
21/05/2012,34.029999,218.110001,79.800003
22/05/2012,31,215.330002,79.650002
23/05/2012,32,217.279999,79.75
24/05/2012,33.029999,215.240005,79.800003
25/05/2012,31.91,212.889999,79.25
29/05/2012,28.84,214.75,79.82
30/05/2012,28.190001,209.229996,78.830002
31/05/2012,29.6,212.910004,79.360001
01/06/2012,27.719999,208.220001,79.019997
04/06/2012,26.9,214.570007,79.040001
05/06/2012,25.870001,213.210007,79.120003
06/06/2012,26.809999,217.639999,80.68
07/06/2012,26.309999,218.800003,80.660004
08/06/2012,27.1,218.479996,81.360001
11/06/2012,27.01,216.5,80.279999
12/06/2012,27.4,216.419998,81.260002
13/06/2012,27.27,214.729996,80.589996
14/06/2012,28.290001,214.449997,81.720001
15/06/2012,30.01,218.350006,82.57
18/06/2012,31.41,222.660004,82.150002
19/06/2012,31.91,224.029999,82.980003
20/06/2012,31.6,223.020004,82.459999
21/06/2012,31.84,220.570007,81.190002
22/06/2012,33.049999,222.160004,81.870003
25/06/2012,32.060001,220.070007,80.470001
26/06/2012,33.099998,225.610001,81.330002
27/06/2012,32.23,225.619995,81.980003
28/06/2012,31.360001,221.309998,82.339996
29/06/2012,31.1,228.350006,83.330002
02/07/2012,30.77,229.320007,83.650002
03/07/2012,31.200001,229.529999,83.779999
05/07/2012,31.469999,227.059998,83.220001
06/07/2012,31.73,225.050003,82.540001
09/07/2012,32.169998,225.050003,83.389999
10/07/2012,31.469999,219.5,83.050003
11/07/2012,30.969999,218.369995,84.089996
12/07/2012,30.809999,215.360001,83.540001
13/07/2012,30.719999,218.389999,84.480003
16/07/2012,28.25,216.009995,83.980003
17/07/2012,28.09,216.929993,85.190002
18/07/2012,29.110001,217.470001,84.980003
19/07/2012,29,226.169998,84.629997
20/07/2012,28.76,228.289993,83.830002
23/07/2012,28.75,226.009995,83.589996
24/07/2012,28.450001,223.039993,83.699997
25/07/2012,29.34,217.050003,84.040001
26/07/2012,26.85,220.009995,84.669998
27/07/2012,23.709999,237.320007,85.199997
30/07/2012,23.15,236.089996,85.230003
31/07/2012,21.709999,233.300003,84.839996
01/08/2012,20.879999,232.089996,84.620003
02/08/2012,20.040001,230.809998,84.080002
03/08/2012,21.09,234.970001,85.580002
06/08/2012,21.92,233.990005,85.150002
07/08/2012,20.719999,236.559998,84.669998
08/08/2012,20.719999,234.380005,84.650002
09/08/2012,21.01,234.059998,84.540001
10/08/2012,21.809999,232.75,84.769997
13/08/2012,21.6,232.440002,84.989998
14/08/2012,20.379999,233.190002,84.940002
15/08/2012,21.200001,237.419998,84.709999
16/08/2012,19.870001,241.550003,85.220001
17/08/2012,19.049999,241.169998,85.870003
20/08/2012,20.01,240.350006,85.75
21/08/2012,19.16,239.449997,85.220001
22/08/2012,19.440001,243.100006,85.690002
23/08/2012,19.440001,241.199997,85.150002
24/08/2012,19.41,245.740005,85.389999
27/08/2012,19.15,243.919998,85.410004
28/08/2012,19.34,246.110001,84.919998
29/08/2012,19.1,247.119995,84.550003
30/08/2012,19.09,246.220001,84.010002
31/08/2012,18.059999,248.270004,84.339996
04/09/2012,17.73,247.880005,84.25
05/09/2012,18.58,246.220001,85.190002
06/09/2012,18.959999,251.380005,86.470001
07/09/2012,18.98,259.140015,86.639999
10/09/2012,18.809999,257.089996,86.610001
11/09/2012,19.43,255.669998,86.760002
12/09/2012,20.93,255.630005,86.730003
13/09/2012,20.709999,260.23999,88.559998
14/09/2012,22,261.269989,88.699997
17/09/2012,21.52,258,88.519997
18/09/2012,21.870001,258.75,88.610001
19/09/2012,23.290001,261.679993,88.949997
20/09/2012,22.59,260.809998,89.330002
21/09/2012,22.860001,257.470001,89.540001
24/09/2012,20.790001,254.800003,88.660004
25/09/2012,20.280001,252.460007,88.120003
26/09/2012,20.620001,249.669998,88.330002
27/09/2012,20.32,256.589996,88.260002
28/09/2012,21.66,254.320007,88.199997
01/10/2012,21.99,252.009995,88.660004
02/10/2012,22.27,250.600006,88.830002
03/10/2012,21.83,255.919998,89.489998
04/10/2012,21.950001,260.470001,90.360001
05/10/2012,20.91,258.51001,90.419998
08/10/2012,20.4,259.059998,90.169998
09/10/2012,20.23,250.960007,89.260002
10/10/2012,19.639999,244.990005,88.730003
11/10/2012,19.75,244.220001,88.709999
12/10/2012,19.52,242.360001,88.25
15/10/2012,19.52,244.179993,89.110001
16/10/2012,19.48,243.940002,89.93
17/10/2012,19.879999,247.490005,90.5
18/10/2012,18.98,244.850006,90.620003
19/10/2012,19,240,89.260002
22/10/2012,19.32,233.779999,88.510002
23/10/2012,19.5,234.309998,86.949997
24/10/2012,23.23,228.490005,86.940002
25/10/2012,22.559999,222.919998,87.150002
26/10/2012,21.940001,238.240005,86.660004
31/10/2012,21.110001,232.889999,86.349998
01/11/2012,21.209999,232.139999,87.68
02/11/2012,21.18,232.419998,86.93
05/11/2012,21.25,234.330002,86.860001
06/11/2012,21.17,237.559998,87.290001
07/11/2012,20.469999,232.059998,85.449997
08/11/2012,19.99,227.350006,84.580002
09/11/2012,19.209999,226.309998,85.18
12/11/2012,20.07,226.470001,85.269997
13/11/2012,19.860001,226.600006,85.870003
14/11/2012,22.360001,222.949997,84.879997
