Date,Año,,
01/01/2000,2000,1,1018
01/02/2000,2000,2,930
01/03/2000,2000,3,917
01/04/2000,2000,4,850
01/05/2000,2000,5,919
01/06/2000,2000,6,822
01/07/2000,2000,7,902
01/08/2000,2000,8,850
01/09/2000,2000,9,904
01/10/2000,2000,10,831
01/11/2000,2000,11,827
01/12/2000,2000,12,967
01/01/2001,2001,1,867
01/02/2001,2001,2,775
01/03/2001,2001,3,888
01/04/2001,2001,4,829
01/05/2001,2001,5,945
01/06/2001,2001,6,839
01/07/2001,2001,7,893
01/08/2001,2001,8,848
01/09/2001,2001,9,786
01/10/2001,2001,10,893
01/11/2001,2001,11,809
01/12/2001,2001,12,913
01/01/2002,2002,1,921
01/02/2002,2002,2,804
01/03/2002,2002,3,864
01/04/2002,2002,4,907
01/05/2002,2002,5,838
01/06/2002,2002,6,785
01/07/2002,2002,7,879
01/08/2002,2002,8,884
01/09/2002,2002,9,784
01/10/2002,2002,10,785
01/11/2002,2002,11,782
01/12/2002,2002,12,855
01/01/2003,2003,1,852
01/02/2003,2003,2,730
01/03/2003,2003,3,871
01/04/2003,2003,4,866
01/05/2003,2003,5,878
01/06/2003,2003,6,848
01/07/2003,2003,7,899
01/08/2003,2003,8,770
01/09/2003,2003,9,830
01/10/2003,2003,10,821
01/11/2003,2003,11,868
01/12/2003,2003,12,854
01/01/2004,2004,1,792
01/02/2004,2004,2,771
01/03/2004,2004,3,826
01/04/2004,2004,4,676
01/05/2004,2004,5,817
01/06/2004,2004,6,816
01/07/2004,2004,7,768
01/08/2004,2004,8,756
01/09/2004,2004,9,765
01/10/2004,2004,10,772
01/11/2004,2004,11,799
01/12/2004,2004,12,771
01/01/2005,2005,1,785
01/02/2005,2005,2,796
01/03/2005,2005,3,776
01/04/2005,2005,4,852
01/05/2005,2005,5,861
01/06/2005,2005,6,892
01/07/2005,2005,7,788
01/08/2005,2005,8,818
01/09/2005,2005,9,838
01/10/2005,2005,10,815
01/11/2005,2005,11,819
01/12/2005,2005,12,881
01/01/2006,2006,1,921
01/02/2006,2006,2,776
01/03/2006,2006,3,901
01/04/2006,2006,4,752
01/05/2006,2006,5,957
01/06/2006,2006,6,862
01/07/2006,2006,7,863
01/08/2006,2006,8,935
01/09/2006,2006,9,921
01/10/2006,2006,10,814
01/11/2006,2006,11,901
01/12/2006,2006,12,849
01/01/2007,2007,1,676
01/02/2007,2007,2,488
01/03/2007,2007,3,781
01/04/2007,2007,4,756
01/05/2007,2007,5,943
01/06/2007,2007,6,784
01/07/2007,2007,7,737
01/08/2007,2007,8,783
01/09/2007,2007,9,693
01/10/2007,2007,10,791
01/11/2007,2007,11,691
01/12/2007,2007,12,744
01/01/2008,2008,1,927
01/02/2008,2008,2,822
01/03/2008,2008,3,939
01/04/2008,2008,4,1009
01/05/2008,2008,5,1096
01/06/2008,2008,6,1185
01/07/2008,2008,7,1197
01/08/2008,2008,8,1258
01/09/2008,2008,9,1176
01/10/2008,2008,10,1468
01/11/2008,2008,11,1422
01/12/2008,2008,12,1507
01/01/2009,2009,1,1423
01/02/2009,2009,2,1526
01/03/2009,2009,3,1415
01/04/2009,2009,4,1398
01/05/2009,2009,5,1403
01/06/2009,2009,6,1656
01/07/2009,2009,7,1680
01/08/2009,2009,8,1767
01/09/2009,2009,9,1916
01/10/2009,2009,10,1766
