Date,Año,,Indice histórico,Return,Base=Jan2000
01/01/2000,2000,1,72,,100
01/02/2000,2000,2,72.3,0.004166667,100.4166667
01/03/2000,2000,3,74.7,0.033195021,103.75
01/04/2000,2000,4,71.4,-0.044176707,99.16666667
01/05/2000,2000,5,75.4,0.056022409,104.7222222
01/06/2000,2000,6,74.9,-0.0066313,104.0277778
01/07/2000,2000,7,74,-0.012016021,102.7777778
01/08/2000,2000,8,74.8,0.010810811,103.8888889
01/09/2000,2000,9,75.7,0.012032086,105.1388889
01/10/2000,2000,10,74.4,-0.017173052,103.3333333
01/11/2000,2000,11,74.3,-0.001344086,103.1944444
01/12/2000,2000,12,73.1,-0.01615074,101.5277778
01/01/2001,2001,1,73.6,0.006839945,102.2222222
01/02/2001,2001,2,71.1,-0.033967391,98.75
01/03/2001,2001,3,74.4,0.046413502,103.3333333
01/04/2001,2001,4,71.9,-0.033602151,99.86111111
01/05/2001,2001,5,74.9,0.041724618,104.0277778
01/06/2001,2001,6,73.8,-0.014686248,102.5
01/07/2001,2001,7,72.9,-0.012195122,101.25
01/08/2001,2001,8,74,0.015089163,102.7777778
01/09/2001,2001,9,73.8,-0.002702703,102.5
01/10/2001,2001,10,73.4,-0.005420054,101.9444444
01/11/2001,2001,11,73,-0.005449591,101.3888889
01/12/2001,2001,12,72.3,-0.009589041,100.4166667
01/01/2002,2002,1,71.1,-0.01659751,98.75
01/02/2002,2002,2,69,-0.029535865,95.83333333
01/03/2002,2002,3,70.5,0.02173913,97.91666667
01/04/2002,2002,4,74.9,0.062411348,104.0277778
01/05/2002,2002,5,74.7,-0.002670227,103.75
01/06/2002,2002,6,72.9,-0.024096386,101.25
01/07/2002,2002,7,73.6,0.009602195,102.2222222
01/08/2002,2002,8,73.9,0.004076087,102.6388889
01/09/2002,2002,9,74,0.00135318,102.7777778
01/10/2002,2002,10,75,0.013513514,104.1666667
01/11/2002,2002,11,73.4,-0.021333333,101.9444444
01/12/2002,2002,12,73.9,0.006811989,102.6388889
01/01/2003,2003,1,72.6,-0.01759134,100.8333333
01/02/2003,2003,2,70.9,-0.023415978,98.47222222
01/03/2003,2003,3,73.5,0.036671368,102.0833333
01/04/2003,2003,4,73.6,0.001360544,102.2222222
01/05/2003,2003,5,74.8,0.016304348,103.8888889
01/06/2003,2003,6,74.3,-0.006684492,103.1944444
01/07/2003,2003,7,74.2,-0.001345895,103.0555556
01/08/2003,2003,8,72.6,-0.021563342,100.8333333
01/09/2003,2003,9,74.3,0.023415978,103.1944444
01/10/2003,2003,10,74.8,0.006729475,103.8888889
01/11/2003,2003,11,73,-0.024064171,101.3888889
01/12/2003,2003,12,76.2,0.043835616,105.8333333
01/01/2004,2004,1,73.6,-0.034120735,102.2222222
01/02/2004,2004,2,72.6,-0.013586957,100.8333333
01/03/2004,2004,3,77.8,0.071625344,108.0555556
01/04/2004,2004,4,76,-0.023136247,105.5555556
01/05/2004,2004,5,77,0.013157895,106.9444444
01/06/2004,2004,6,78,0.012987013,108.3333333
01/07/2004,2004,7,75.8,-0.028205128,105.2777778
01/08/2004,2004,8,75.9,0.001319261,105.4166667
01/09/2004,2004,9,76.7,0.010540184,106.5277778
01/10/2004,2004,10,76.5,-0.002607562,106.25
01/11/2004,2004,11,77.6,0.014379085,107.7777778
01/12/2004,2004,12,78.6,0.012886598,109.1666667
01/01/2005,2005,1,74.6,-0.050890585,103.6111111
01/02/2005,2005,2,73.9,-0.009383378,102.6388889
01/03/2005,2005,3,76.1,0.029769959,105.6944444
01/04/2005,2005,4,79.2,0.040735874,110
01/05/2005,2005,5,79.1,-0.001262626,109.8611111
01/06/2005,2005,6,78.1,-0.012642225,108.4722222
01/07/2005,2005,7,76.1,-0.025608195,105.6944444
01/08/2005,2005,8,78.5,0.031537451,109.0277778
01/09/2005,2005,9,79.1,0.007643312,109.8611111
01/10/2005,2005,10,79,-0.001264223,109.7222222
01/11/2005,2005,11,80.3,0.016455696,111.5277778
01/12/2005,2005,12,81.1,0.00996264,112.6388889
01/01/2006,2006,1,79.3,-0.022194821,110.1388889
01/02/2006,2006,2,76.8,-0.031525851,106.6666667
01/03/2006,2006,3,82,0.067708333,113.8888889
01/04/2006,2006,4,79.7,-0.02804878,110.6944444
01/05/2006,2006,5,84.4,0.058971142,117.2222222
01/06/2006,2006,6,83.3,-0.013033175,115.6944444
01/07/2006,2006,7,80.6,-0.032412965,111.9444444
01/08/2006,2006,8,82.4,0.022332506,114.4444444
01/09/2006,2006,9,82.2,-0.002427184,114.1666667
01/10/2006,2006,10,83.5,0.015815085,115.9722222
01/11/2006,2006,11,82.7,-0.009580838,114.8611111
01/12/2006,2006,12,82.5,-0.00241838,114.5833333
01/01/2007,2007,1,80.9,-0.019393939,112.3611111
01/02/2007,2007,2,78.3,-0.032138443,108.75
01/03/2007,2007,3,83.8,0.070242656,116.3888889
01/04/2007,2007,4,82,-0.021479714,113.8888889
01/05/2007,2007,5,85.6,0.043902439,118.8888889
01/06/2007,2007,6,85,-0.007009346,118.0555556
01/07/2007,2007,7,83.3,-0.02,115.6944444
