Date,Value
200001,51.4
200002,55.6
200003,58.8
200004,70
200005,80.7
200006,81.9
200007,85.7
200008,83.2
200009,80.3
200010,64.2
200011,49.3
200012,45.7
200101,43.5
200102,51.7
200103,58
200104,67.2
200105,77.7
200106,84.9
200107,85.9
200108,82.7
200109,78.5
200110,69.3
200111,56.4
200112,44.4
200201,47.8
200202,48.8
200203,58.4
200204,71.6
200205,76.7
200206,86.8
200207,83.9
200208,86.1
200209,78.7
200210,66
200211,53.8
200212,45.5
200301,50.3
200302,51.9
200303,57.1
200304,67.2
200305,77.6
200306,82.9
200307,86.6
200308,85.5
200309,79.3
200310,70.2
200311,56.9
200312,46.3
200401,48.1
200402,47.5
200403,61.6
200404,65.5
200405,77.9
200406,83.1
200407,84.5
200408,80.8
200409,75.5
200410,67.4
200411,52
200412,45.4
200501,50.3
200502,51.6
200503,57
200504,66.4
200505,75.7
200506,85.5
200507,87.3
200508,81.6
200509,79.7
200510,66.7
200511,57
200512,49.6
200601,50.8
200602,54
200603,60.5
200604,71.2
200605,79.6
200606,85
200607,85.1
200608,80.2
200609,73
200610,65.9
200611,57.9
200612,45.1
200701,44
200702,52
200703,60.7
200704,65.7
200705,74
200706,83.1
200707,83.6
200708,84.8
200709,78.7
200710,69.1
200711,58
200712,46.7
200801,46
200802,52.8
200803,59.1
200804,66.2
200805,75.4
200806,86.3
200807,81.5
200808,81.4
200809,74.2
200810,66.7
200811,54.5
200812,49
200901,48.3
200902,54
200903,60.6
200904,66.3
200905,78
200906,82.4
200907,87.3
200908,84.7
200909,76.1
200910,66
200911,55.8
200912,44.6
201001,44.1
201002,49.6
201003,56.1
201004,65.5
201005,74.8
201006,85.8
201007,83.8
201008,85
201009,79.4
201010,69.1
201011,53.9
201012,51.3
201101,45.1
201102,45.8
201103,63.8
201104,70.9
201105,75.1
201106,87.3
201107,86.8
201108,87.6
201109,79.7
201110,68.5
201111,54.1
201112,42.3
201201,48.9
201202,51.1
201203,59
201204,70.5
201205,75.9
201206,87
201207,83.2
201208,85
201209,76.4
201210,69.2
201211,58.4
201212,47.9
201301,43.2
201302,48.4
201303,60.9
201304,67.9
201305,75.7
201306,87.4
201307,82.9
201308,83.6
201309,76.7
201310,66.1
201311,54.5
201312,45.3
201401,47.8
201402,57.3
201403,60.3
201404,66.6
201405,74.4
201406,88.5
201407,85.4
201408,80.7
201409,75.9
201410,69.4
201411,53.6
201412,49.4
201501,44.9
201502,53.7
201503,60.3
201504,66.8
201505,73.2
201506,85
201507,85.1
201508,86.1
201509,81.2
201510,68.9
201511,55.4
201512,47.5
201601,46
201602,53.6
201603,62.5
201604,66.5
201605,74
201606,85.1
201607,89.3
201608,81.3
201609,77.2
201610,71.9
201611,58.3
201612,49.9
201701,49.4
201702,56.6
201703,65.6
201704,69.6
201705,75.3
201706,86.2
201707,84.3
201708,82
201709,79.5
201710,70.1
201711,61.8
201712,49.1
201801,47.3
201802,56
201803,62.1
201804,71.2
201805,80.1
201806,88
201807,86.6
201808,85.7
201809,79.2
201810,65.9
201811,54.4
201812,48.1
201901,47.4
201902,52.3
201903,59.8
201904,68.4
201905,73.8
201906,83.7
201907,87.9
201908,88.3
201909,81
201910,66.6
201911,54.6
201912,48.4
202001,49.3
202002,50.8
202003,60.7
202004,70.3
202005,80.1
202006,86
202007,89.5
202008,88.9
202009,76.6
202010,69
202011,60.5
202012,45.1
202101,45.9
202102,52.1
202103,59.1
202104,68
202105,77.3
202106,84.8
202107,82.7
202108,82
202109,78.7
202110,68.9
202111,57.9
202112,53.3
202201,46.3
202202,47.6
202203,56.9
202204,70.1
202205,79.3
202206,85.6
202207,87.4
202208,82.5
202209,78.7
202210,65
202211,51.6
202212,48.8
202301,47.6
202302,49.9
202303,58.6
202304,67.2
202305,77.2
202306,84.4
202307,91.1
202308,87.1
202309,81.5
202310,70.4
202311,57.2
202312,49.1
202401,47.8
202402,53.9
202403,58.9
202404,67.2
202405,77.2
202406,88.2
202407,86.5
202408,88.2
202409,79.9
202410,73.4
202411,55.7
202412,51.7
202501,42.8
