Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0,,,,,,Sum of Encounter Count,Column Labels,,,,,
2019,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,9584,,,,,,Row Labels,2019,2020,2021,2022,(blank),Grand Total
2021,FYTD,SEP,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1108,,,,,,JAN,58317,36585,78414,154874,,328190
2021,FYTD,SEP,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,14,,,,,,FEB,76545,36687,101099,166010,,380341
2019,FYTD,JUN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,87,,,,,,MAR,103731,34460,173277,222574,,534042
2019,FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,121,,,,,,APR,109415,17106,178795,235785,,541101
2019,FYTD,SEP,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,1693,,,,,,MAY,144116,23237,180597,241136,,589086
2021,FYTD,AUG,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1580,,,,,,JUN,104311,33049,189034,207834,,534228
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8,,,,,,JUL,81777,40929,213593,200162,,536461
2019,FYTD,FEB,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,71,,,,,,AUG,62707,50014,209840,204087,,526648
2020,FYTD,MAY,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,7,,,,,,SEP,52546,57674,192001,227547,,529768
2019,FYTD,JUN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,9,,,,,,OCT,60781,45139,71929,164837,,342686
2019,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,49,,,,,,NOV,62469,42643,72113,174845,,352070
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,221,,,,,,DEC,60794,40565,73994,179253,,354606
2019,FYTD,NOV,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3175,,,,,,(blank),,,,,,
2019,FYTD,AUG,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,30,,,,,,Grand Total,977509,458088,1734686,2378944,,5549227
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,98,,,,,,,,,,,,
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2532,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,264,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,53,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,327,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,265,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,9769,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1972,,,,,,,,,,,,
2019,FYTD,SEP,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1089,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1870,,,,,,,,,,,,
2019,FYTD,NOV,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,12306,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,2,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,180,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,21,,,,,,,,,,,,
2019,FYTD,OCT,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2631,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,3,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1979,,,,,,,,,,,,
2019,FYTD,SEP,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,2177,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,31,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,412,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,15,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,39,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3075,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,5,,,,,,,,,,,,
2019,FYTD,NOV,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,6790,,,,,,,,,,,,
2019,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8845,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,21512,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2365,,,,,,,,,,,,
2019,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,565,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,3071,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1343,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,211,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,943,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,348,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,1,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,20,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,12,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,256,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,211,,,,,,,,,,,,
2019,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,1028,,,,,,,,,,,,
2019,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,3463,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,33,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,56,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,19,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,15,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,28,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,1,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,40,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,452,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,10,,,,,,,,,,,,
2019,FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,4,,,,,,,,,,,,
2019,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2730,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,4,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,3801,,,,,,,,,,,,
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1065,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,13,,,,,,,,,,,,
2019,FYTD,AUG,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2392,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,302,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1023,,,,,,,,,,,,
2019,FYTD,MAY,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,153,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,1547,,,,,,,,,,,,
2020,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,31,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,57,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,13,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,205,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,304,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,11558,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,76,,,,,,,,,,,,
2019,FYTD,FEB,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2,,,,,,,,,,,,
2019,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,1052,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1042,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,347,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,10,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,192,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,411,,,,,,,,,,,,
2019,FYTD,MAY,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,11,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,2139,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,91,,,,,,,,,,,,
2019,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,734,,,,,,,,,,,,
